ABBREVIATION, NAME, TYPE
"AL", "Alabama", ""
"AK", "Alaska", ""
"AZ", "Arizona", ""
"AR", "Arkansas", ""
"CA", "California", ""
"CO", "Colorado", ""
"CT", "Connecticut", ""
"DE", "Delaware", ""
"FL", "Florida", ""
"GA", "Georgia", ""
"HI", "Hawaii", ""
"ID", "Idaho", ""
"IL", "Illinois", ""
"IN", "Indiana", ""
"IA", "Iowa", ""
"KS", "Kansas", ""
"KY", "Kentucky", ""
"LA", "Louisiana", ""
"ME", "Maine", ""
"MD", "Maryland", ""
"MA", "Massachusetts", ""
"MI", "Michigan", ""
"MN", "Minnesota", ""
"MS", "Mississippi", ""
"MO", "Missouri", ""
"MT", "Montana", ""
"NE", "Nebraska", ""
"NV", "Nevada", ""
"NH", "New Hampshire", ""
"NJ", "New Jersey", ""
"NM", "New Mexico", ""
"NY", "New York", ""
"NC", "North Carolina", ""
"ND", "North Dakota", ""
"OH", "Ohio", ""
"OK", "Oklahoma", ""
"OR", "Oregon", ""
"PA", "Pennsylvania", ""
"RI", "Rhode Island", ""
"SC", "South Carolina", ""
"SD", "South Dakota", ""
"TN", "Tennessee", ""
"TX", "Texas", ""
"UT", "Utah", ""
"VT", "Vermont", ""
"VA", "Virginia", ""
"WA", "Washington", ""
"WV", "West Virginia", ""
"WI", "Wisconsin", ""
"WY", "Wyoming", ""
"AS", "American Samoa", "territory"
"DC", "District of Columbia", "territory"
"FM", "Federated States of Micronesia", "territory"
"GU", "Guam", "territory"
"MH", "Marshall Islands", "territory"
"MP", "Northern Mariana Islands", "territory"
"PW", "Palau", "territory"
"PR", "Puerto Rico", "territory"
"VI", "Virgin Islands", "territory"
"AE", "Armed Forces Africa", "military"
"AA", "Armed Forces Americas", "military"
"AE", "Armed Forces Canada", "military"
"AE", "Armed Forces Europe", "military"
"AE", "Armed Forces Middle East", "military"
"AP", "Armed Forces Pacific", "military"
